popular_size,mutation_rates,distances
420,0.1,7020.856267572843
420,0.15,7010.507490763124
420,0.2,7010.507490763124
420,0.25,7010.507490763126
420,0.3,7020.856267572843
420,0.35,7020.856267572843
420,0.4,7010.507490763124
420,0.45,7010.507490763124
420,0.5,7010.507490763126
420,0.55,7010.507490763124
420,0.6,7010.507490763126
420,0.65,7010.507490763126
420,0.7,7010.507490763124
420,0.75,7010.507490763124
420,0.8,7010.507490763126
420,0.85,7010.507490763124
450,0.001,7010.507490763124
450,0.002,7020.856267572843
450,0.005,7010.507490763124
450,0.006,7010.507490763124
450,0.007,7010.507490763124
450,0.01,7010.507490763124
450,0.05,7010.507490763126
450,0.1,7010.507490763124
450,0.15,7010.507490763124
450,0.2,7010.507490763124
450,0.25,7010.507490763124
450,0.3,7010.507490763124
450,0.35,7010.507490763126
450,0.4,7010.507490763124
450,0.45,7010.507490763124
450,0.5,7010.507490763124
450,0.55,7020.856267572843
450,0.6,7020.856267572843
450,0.65,7010.507490763124
450,0.7,7085.407844585763
450,0.75,7075.406453560099
450,0.8,7021.430630041133
450,0.85,7042.300629748715
470,0.001,7010.507490763124
470,0.002,7010.507490763124
470,0.005,7020.856267572843
470,0.006,7010.507490763124
470,0.007,7010.507490763124
470,0.01,7010.507490763126
470,0.05,7010.507490763124
470,0.1,7010.507490763124
470,0.15,7010.507490763124
470,0.2,7010.507490763124
470,0.25,7020.856267572843
470,0.3,7010.507490763124
470,0.35,7010.507490763124
470,0.4,7010.507490763126
470,0.45,7010.507490763124
470,0.5,7031.37749047071
470,0.55,7021.430630041132
470,0.6,7010.507490763124
470,0.65,7031.377490470711
470,0.7,7021.430630041132
470,0.75,7020.856267572843
470,0.8,7033.874675964857
470,0.85,7010.507490763126
500,0.001,7010.507490763124
500,0.002,7010.507490763124
500,0.005,7010.507490763124
500,0.006,7010.507490763124
500,0.007,7010.507490763124
500,0.01,7010.507490763126
500,0.05,7010.507490763124
500,0.1,7010.507490763124
500,0.15,7020.856267572843
500,0.2,7010.507490763124
500,0.25,7010.507490763124
500,0.3,7010.507490763124
500,0.35,7010.507490763124
500,0.4,7010.507490763124
500,0.45,7010.507490763124
500,0.5,7010.507490763126
500,0.55,7010.507490763124
500,0.6,7010.507490763124
500,0.65,7010.507490763124
500,0.7,7010.507490763124
500,0.75,7010.507490763124
500,0.8,7021.430630041132
500,0.85,7010.507490763126
