popular_size,mutation_rates,distances
210,0.4,7020.85626757284
210,0.45,7010.50749076312
210,0.5,7033.87467596486
210,0.55,7131.04544232543
210,0.6,7021.43063004113
210,0.65,7031.37749047071
210,0.7,7010.50749076313
210,0.75,7021.43063004113
210,0.8,7010.50749076312
210,0.85,7042.30062974872
220,0.001,7031.37749047071
220,0.002,7033.87467596486
220,0.005,7033.87467596486
220,0.006,7010.50749076312
220,0.007,7010.50749076313
220,0.01,7065.69750255483
220,0.05,7041.72626728043
220,0.1,7010.50749076312
220,0.15,7010.50749076312
220,0.2,7020.85626757284
220,0.25,7010.50749076313
220,0.3,7020.85626757284
220,0.35,7065.69750255483
220,0.4,7031.37749047071
220,0.45,7010.50749076313
220,0.5,7088.39392866907
220,0.55,7010.50749076313
220,0.6,7010.50749076312
220,0.65,7010.50749076313
220,0.7,7010.50749076312
220,0.75,7031.37749047071
220,0.8,7041.72626728043
220,0.85,7020.85626757284
250,0.001,7031.37749047071
250,0.002,7020.85626757284
250,0.005,7010.50749076312
250,0.006,7010.50749076312
250,0.007,7020.85626757284
250,0.01,7010.50749076312
250,0.05,7020.85626757284
250,0.1,7020.85626757284
250,0.15,7021.43063004113
250,0.2,7021.43063004113
250,0.25,7010.50749076312
250,0.3,7085.40784458576
250,0.35,7020.85626757284
250,0.4,7041.72626728043
250,0.45,7010.50749076312
250,0.5,7054.74467567244
250,0.55,7031.37749047071
250,0.6,7033.87467596486
250,0.65,7065.69750255483
250,0.7,7021.43063004113
250,0.75,7104.18230399772
250,0.8,7010.50749076312
250,0.85,7031.37749047071
270,0.001,7010.50749076312
270,0.002,7010.50749076313
270,0.005,7041.72626728043
270,0.006,7020.85626757284
270,0.007,7010.50749076312
270,0.01,7010.50749076313
270,0.05,7010.50749076312
270,0.1,7010.50749076312
270,0.15,7020.85626757284
270,0.2,7010.50749076313
270,0.25,7010.50749076313
270,0.3,7020.85626757284
270,0.35,7010.50749076313
270,0.4,7010.50749076313
270,0.45,7010.50749076312
270,0.5,7010.50749076312
270,0.55,7010.50749076313
270,0.6,7010.50749076312
270,0.65,7021.43063004113
270,0.7,7010.50749076312
270,0.75,7136.96200182849
270,0.8,7010.50749076312
270,0.85,7042.30062974872
300,0.001,7010.50749076312
300,0.002,7010.50749076312
300,0.005,7010.50749076312
300,0.006,7010.50749076312
300,0.007,7010.50749076312
300,0.01,7010.50749076312
300,0.05,7031.37749047071
300,0.1,7021.43063004113
300,0.15,7020.85626757284
300,0.2,7010.50749076313
300,0.25,7010.50749076312
300,0.3,7010.50749076313
300,0.35,7021.43063004113
300,0.4,7020.85626757284
300,0.45,7010.50749076312
300,0.5,7010.50749076312
300,0.55,7010.50749076313
300,0.6,7010.50749076313
300,0.65,7085.40784458576
300,0.7,7010.50749076312
300,0.75,7031.37749047071
300,0.8,7189.4113346214
300,0.85,7574.44113539686
